"","Country","UN Region","IMF[5][6]","GDP_WB","CIA[8]"
"1","Monaco'","Europe","N/A",190513,"115,700"
"2","Liechtenstein'","Europe","N/A",180367,"139,100"
"3","Luxembourg'","Europe","140,694",118360,"110,300"
"4","Singapore'","Asia","131,580",98526,"93,400"
"5","Ireland'","Europe","124,596",93612,"89,700"
"6","Qatar'","Asia","112,789",89949,"85,300"
"7","Macau'","Asia","85,612",57807,"54,800"
"8","Switzerland'","Europe","84,658",71352,"68,400"
"9","Isle of Man'","Europe","N/A",NA,"84,600"
"10","Bermuda'","Americas","N/A",80830,"81,800"
"11","United Arab Emirates'","Asia","78,255",69958,"67,100"
"12","Norway'","Europe","77,808",63198,"63,600"
"13","United States'","Americas","76,027",63544,"60,200"
"14","Brunei'","Asia","74,953",65662,"62,200"
"15","Cayman Islands'","Americas","N/A",71594,"73,600"
"16","Falkland Islands'","Americas","N/A",NA,"70,800"
"17","Hong Kong'","Asia","70,448",59238,"56,200"
"18","San Marino'","Europe","70,139",63420,"60,800"
"19","Denmark'","Europe","69,273",60399,"55,900"
"20","Taiwan'","Asia","68,730",NA,"24,502"
"21","Netherlands'","Europe","68,572",59229,"54,200"
"22","Austria'","Europe","64,751",55098,"51,900"
"23","Iceland'","Europe","64,621",55216,"52,300"
"24","Andorra'","Europe","63,600",NA,"49,900"
"25","Germany'","Europe","63,271",53694,"50,900"
"26","Sweden'","Europe","62,926",54563,"50,700"
"27","Australia'","Oceania","61,941",52518,"48,700"
"28","Gibraltar'","Europe","N/A",NA,"61,700"
"29","Belgium'","Europe","61,587",51968,"48,200"
"30","Finland'","Europe","58,010",51090,"47,300"
"31","Canada'","Americas","57,812",48073,"45,900"
"32","Bahrain'","Asia","57,424",43181,"45,011"
"33","Jersey'","Europe","N/A",NA,"56,600"
"34","France'","Europe","56,036",46227,"46,184"
"35","Saudi Arabia'","Asia","55,368",46763,"46,962"
"36","United Kingdom'","Europe","55,301",44916,"46,659"
"37","Malta'","Europe","54,647",42640,"44,032"
"38","European Union'","Europe","53,201",44491,"44,436"
"39","South Korea'","Asia","53,051",43124,"42,765"
"40","Guernsey'","Europe","N/A",NA,"52,500"
"41","Kuwait'","Asia","50,919",51962,"49,900"
"42","New Zealand'","Oceania","50,411",44252,"42,888"
"43","Italy'","Europe","50,216",41840,"42,492"
"44","Israel'","Asia","50,204",41855,"40,145"
